ID,DURATION,DATE,USER_ID,WEBPAGE
1,25230,2016-04-15 12:07:59,4,geocities.jp
2,1025,2016-04-16 14:32:11,4,furl.net
3,30317,2016-03-26 19:50:16,4,aboutads.info
4,37792,2016-04-11 07:05:18,4,economist.com
5,19994,2016-03-27 04:36:54,4,cdbaby.com
6,34473,2016-04-02 11:10:09,4,businessinsider.com
7,12673,2016-04-02 03:04:44,4,google.ru
8,5162,2016-03-26 14:43:28,4,businesswire.com
9,7586,2016-04-04 13:10:11,4,nytimes.com
10,28860,2016-04-06 12:52:45,4,youtu.be
11,30544,2016-04-16 22:47:56,4,lulu.com
12,1338,2016-04-06 14:05:53,4,geocities.jp
13,1161,2016-03-22 14:29:51,4,php.net
14,27722,2016-04-06 21:14:46,4,cbslocal.com
15,19103,2016-03-30 05:06:55,4,loc.gov
16,20479,2016-03-23 09:15:25,4,ox.ac.uk
17,28742,2016-03-27 08:57:39,4,shinystat.com
18,11620,2016-04-02 20:09:37,4,skyrock.com
19,27515,2016-03-28 10:39:50,4,baidu.com
20,12832,2016-03-25 19:44:54,4,amazonaws.com
21,8448,2016-04-06 21:43:31,4,ovh.net
22,1098,2016-04-14 17:24:04,4,cbslocal.com
23,22475,2016-03-30 12:23:12,4,amazon.co.uk
24,2900,2016-04-04 15:22:40,4,sfgate.com
25,5406,2016-04-09 13:06:34,4,wunderground.com
26,21103,2016-04-10 13:24:08,4,wp.com
27,23265,2016-04-14 07:21:18,4,wikipedia.org
28,11840,2016-04-03 19:58:31,4,goodreads.com
29,27458,2016-03-20 08:07:51,4,over-blog.com
30,9571,2016-04-15 21:19:45,4,sakura.ne.jp
