ID,DURATION,DATE,USER_ID,NETWORKNAME
31,6304,2016-04-02 12:01:59,4,samsung.com
32,6805,2016-04-09 15:53:05,4,toplist.cz
33,7812,2016-04-12 02:59:07,4,weibo.com
34,6016,2016-03-30 11:04:23,4,sciencedaily.com
35,6629,2016-04-17 03:53:41,4,marriott.com
36,8821,2016-04-11 03:07:37,4,usgs.gov
37,8363,2016-04-06 09:55:43,4,artisteer.com
38,6511,2016-03-25 19:06:18,4,mail.ru
39,9407,2016-03-24 12:32:27,4,sciencedirect.com
40,7765,2016-04-10 09:58:13,4,un.org
41,7982,2016-03-24 08:55:14,4,plala.or.jp
42,7479,2016-04-18 11:01:21,4,nbcnews.com
43,8613,2016-03-26 16:07:37,4,quantcast.com
44,6186,2016-04-02 22:28:01,4,weibo.com
45,6173,2016-04-10 15:59:05,4,gravatar.com
46,6785,2016-03-26 01:09:25,4,nps.gov
47,8055,2016-04-09 15:24:12,4,behance.net
48,9109,2016-04-03 19:43:09,4,mail.ru
49,5929,2016-04-07 06:28:59,4,deviantart.com
50,5028,2016-03-29 13:33:09,4,kickstarter.com
51,6695,2016-04-12 14:31:06,4,etsy.com
52,7381,2016-04-06 04:36:01,4,engadget.com
53,7752,2016-04-16 17:16:42,4,canalblog.com
54,6559,2016-03-23 04:21:08,4,facebook.com
55,8598,2016-04-02 21:02:19,4,51.la
56,6542,2016-03-23 23:59:20,4,php.net
57,9370,2016-04-08 23:35:21,4,ycombinator.com
58,9989,2016-03-27 10:19:53,4,dailymotion.com
59,6708,2016-03-26 08:53:21,4,squidoo.com
60,8913,2016-04-04 15:59:17,4,businessinsider.com
