ID,DURATION,DATE,USER_ID
91,142,2016-03-24 19:58:19,3
92,197,2016-03-25 05:28:48,3
93,111,2016-03-27 08:01:37,3
94,150,2016-04-02 07:28:14,3
95,158,2016-04-18 17:50:56,3
96,124,2016-04-14 00:49:21,3
97,197,2016-04-17 00:40:31,3
98,197,2016-03-20 21:06:59,3
99,160,2016-04-14 23:58:26,3
100,187,2016-04-02 08:10:21,3
101,99,2016-04-04 13:50:40,3
102,138,2016-03-24 16:37:58,3
103,164,2016-04-14 15:24:02,3
104,130,2016-03-29 11:02:06,3
105,154,2016-04-11 02:03:28,3
106,101,2016-03-31 12:43:39,3
107,108,2016-04-18 20:14:57,3
108,86,2016-03-28 01:11:14,3
109,91,2016-04-07 10:46:43,3
110,120,2016-03-21 01:06:07,3
111,146,2016-04-07 08:50:46,3
112,165,2016-03-27 02:42:13,3
113,86,2016-04-09 21:23:44,3
114,82,2016-04-07 00:57:43,3
115,156,2016-03-21 05:21:04,3
116,189,2016-04-14 04:58:51,3
117,107,2016-04-09 23:51:23,3
118,127,2016-04-12 15:24:39,3
119,93,2016-03-28 06:07:11,3
120,185,2016-03-28 19:47:32,3
