ID,DURATION,DATE,USER_ID
31,2,2016-03-31 06:02:52,2
32,2,2016-04-03 15:32:08,2
33,1,2016-04-11 09:03:10,2
34,1,2016-03-24 19:43:41,2
35,1,2016-04-09 13:58:41,2
36,1,2016-04-18 23:59:05,2
37,2,2016-03-21 14:33:47,2
38,2,2016-04-08 09:54:34,2
39,1,2016-03-31 22:43:10,2
40,2,2016-04-11 01:44:31,2
41,2,2016-03-31 04:33:31,2
42,1,2016-04-02 06:48:38,2
43,1,2016-04-19 18:35:16,2
44,1,2016-03-23 17:50:56,2
45,2,2016-04-03 00:40:53,2
46,1,2016-03-21 04:50:59,2
47,1,2016-04-08 12:37:04,2
48,1,2016-03-29 06:39:49,2
49,2,2016-04-14 19:30:36,2
50,1,2016-03-21 02:39:30,2
51,1,2016-04-03 11:12:37,2
52,1,2016-04-03 08:11:18,2
53,1,2016-03-23 04:34:48,2
54,1,2016-04-02 05:01:10,2
55,2,2016-03-27 00:10:05,2
56,1,2016-03-30 15:25:30,2
57,2,2016-04-09 19:07:59,2
58,1,2016-04-14 23:07:23,2
59,1,2016-04-18 08:04:29,2
60,2,2016-04-16 03:28:40,2
61,1,2016-03-29 05:49:21,2
62,1,2016-03-25 23:58:59,2
63,2,2016-03-28 14:07:00,2
64,1,2016-04-17 03:35:45,2
65,1,2016-03-30 01:08:20,2
66,1,2016-03-24 02:45:46,2
67,2,2016-04-13 16:21:29,2
68,1,2016-03-31 22:13:54,2
69,1,2016-04-07 16:43:53,2
70,2,2016-04-15 17:14:24,2
71,2,2016-04-02 15:39:40,2
72,1,2016-04-05 14:24:07,2
73,1,2016-03-28 18:47:52,2
74,1,2016-04-09 05:34:58,2
75,1,2016-03-30 10:19:09,2
76,2,2016-03-23 21:27:41,2
77,2,2016-04-11 01:45:36,2
78,1,2016-04-19 14:18:04,2
79,2,2016-03-24 18:59:26,2
80,2,2016-03-28 10:40:08,2
81,2,2016-03-29 01:19:22,2
82,1,2016-04-02 12:40:52,2
83,2,2016-03-23 14:55:59,2
84,1,2016-03-22 15:49:01,2
85,2,2016-04-12 22:42:54,2
86,2,2016-03-30 09:24:32,2
87,2,2016-03-29 02:49:46,2
88,1,2016-03-23 02:46:52,2
89,2,2016-03-25 05:54:38,2
90,1,2016-04-14 04:55:32,2
