ID,DURATION,DATE,USER_ID,WEBPAGE
31,17976,2016-04-09 20:43:03,2,independent.co.uk
32,37770,2016-04-05 17:04:27,2,csmonitor.com
33,26112,2016-04-10 00:49:38,2,usgs.gov
34,39497,2016-03-31 07:04:23,2,phpbb.com
35,37908,2016-03-24 18:14:26,2,ovh.net
36,22449,2016-03-31 18:20:17,2,unicef.org
37,28575,2016-04-03 23:59:54,2,i2i.jp
38,21262,2016-04-07 16:29:52,2,blog.com
39,6267,2016-04-17 16:14:45,2,va.gov
40,14839,2016-04-18 13:15:51,2,tripadvisor.com
41,1283,2016-04-12 08:12:41,2,eepurl.com
42,14702,2016-04-15 03:42:54,2,google.nl
43,38570,2016-03-31 00:46:37,2,mail.ru
44,29711,2016-03-20 03:21:29,2,about.com
45,36480,2016-04-01 22:59:54,2,gizmodo.com
46,4405,2016-04-07 12:58:04,2,cnn.com
47,3765,2016-04-05 21:49:19,2,deviantart.com
48,14151,2016-04-11 01:36:15,2,netscape.com
49,37102,2016-03-26 05:17:29,2,si.edu
50,17428,2016-04-13 06:59:23,2,amazonaws.com
51,14891,2016-03-27 23:42:12,2,cornell.edu
52,13069,2016-04-09 23:45:34,2,webs.com
53,26504,2016-04-19 20:56:54,2,columbia.edu
54,1915,2016-03-28 17:50:46,2,ibm.com
55,19216,2016-04-06 03:51:14,2,who.int
56,11120,2016-03-26 02:29:41,2,delicious.com
57,38341,2016-04-13 09:07:41,2,liveinternet.ru
58,24528,2016-03-22 16:10:51,2,elegantthemes.com
59,26814,2016-04-01 01:34:43,2,loc.gov
60,7176,2016-04-05 18:56:11,2,youtu.be
