ID,LENGTH,SENTAT,USER_ID
21,11,2016-04-12 00:00:50,2
22,23,2016-04-02 12:55:51,2
23,30,2016-04-12 17:23:48,2
24,19,2016-04-03 11:18:47,2
25,15,2016-04-18 10:34:36,2
26,36,2016-04-07 09:35:59,2
27,10,2016-04-19 06:41:58,2
28,30,2016-04-06 03:18:53,2
29,23,2016-04-12 11:26:07,2
30,19,2016-04-10 07:42:37,2
31,35,2016-04-07 23:33:21,2
32,25,2016-04-10 15:16:03,2
33,39,2016-03-26 00:00:25,2
34,25,2016-03-27 16:33:06,2
35,40,2016-04-11 05:24:25,2
36,40,2016-04-06 02:39:15,2
37,39,2016-03-27 13:49:17,2
38,16,2016-03-24 01:05:52,2
39,27,2016-04-08 19:56:26,2
40,17,2016-03-29 18:31:07,2
41,14,2016-03-27 20:48:35,2
42,17,2016-04-17 07:19:33,2
43,31,2016-04-09 22:10:05,2
44,29,2016-04-15 03:27:56,2
45,40,2016-04-14 08:13:11,2
46,35,2016-04-12 09:08:59,2
47,26,2016-04-05 00:27:30,2
48,17,2016-03-30 15:01:51,2
49,23,2016-03-23 16:26:24,2
50,18,2016-04-14 12:59:24,2
51,38,2016-04-09 02:26:51,2
52,29,2016-03-29 02:01:58,2
53,33,2016-04-13 03:25:51,2
54,40,2016-03-27 14:45:14,2
55,10,2016-04-14 06:15:21,2
56,28,2016-04-10 02:13:49,2
57,37,2016-04-07 10:43:23,2
58,24,2016-04-03 15:16:56,2
59,17,2016-04-13 19:53:43,2
60,15,2016-04-07 16:16:16,2
